iter	Logloss
0	0.6682564923
1	0.6480820343
2	0.6317047673
3	0.6174815531
4	0.6076384805
5	0.5990900028
6	0.5917160765
7	0.5856203857
8	0.581157788
9	0.577042119
10	0.5733460778
11	0.5705942587
12	0.5679812484
13	0.5663312929
14	0.5649147294
15	0.5635589067
16	0.5619812747
17	0.5608580592
18	0.5595050475
19	0.5586477107
20	0.5577812264
21	0.5570434207
22	0.5564749801
23	0.5557968427
24	0.5553458248
25	0.5547660025
26	0.5544032168
27	0.5540031988
28	0.5536910458
29	0.5533319447
30	0.5528758304
31	0.5525851934
32	0.5522805516
33	0.552045204
34	0.5516648498
35	0.5514635609
36	0.5512783538
37	0.550937171
38	0.5507118631
39	0.5504806067
40	0.550266605
41	0.5499981577
42	0.5498190162
43	0.5496634902
44	0.5494551295
45	0.5493168773
46	0.5490842487
47	0.548928394
48	0.5488399554
49	0.5488097264
50	0.5486409544
51	0.5484568858
52	0.5482124097
53	0.5481161762
54	0.5479511119
55	0.5478127289
56	0.5476530594
57	0.5475324638
58	0.5473458991
59	0.547157916
60	0.5469716936
61	0.5468518242
62	0.5467346752
63	0.5466472057
64	0.5465226399
65	0.5463709393
66	0.5462029549
67	0.5461014896
68	0.5458887954
69	0.5457651645
70	0.5455653381
71	0.5453778285
72	0.5452654051
73	0.5452331144
74	0.5450698255
75	0.5449199701
76	0.5448022177
77	0.5447000889
78	0.5446352121
79	0.5445221054
80	0.5443596129
81	0.5441909005
82	0.5440879101
83	0.5439550031
84	0.5438314509
85	0.5437497064
86	0.5436686303
87	0.5436165249
88	0.5433343724
89	0.543266104
90	0.5430931647
91	0.5430047269
92	0.5429124308
93	0.5427595012
94	0.5426257733
95	0.5424490399
96	0.542391347
97	0.5423194612
98	0.5422502217
99	0.5421599283
