iter	Passed	Remaining
0	258	25593
1	338	16593
2	421	13633
3	504	12116
4	561	10665
5	645	10118
6	723	9611
7	803	9238
8	879	8889
9	956	8612
10	1030	8341
11	1108	8132
12	1189	7963
13	1275	7833
14	1363	7727
15	1444	7585
16	1527	7456
17	1609	7332
18	1677	7151
19	1746	6984
20	1814	6824
21	1882	6674
22	1949	6525
23	2015	6382
24	2079	6239
25	2143	6101
26	2206	5966
27	2273	5845
28	2341	5731
29	2405	5612
30	2467	5492
31	2533	5384
32	2601	5281
33	2662	5168
34	2724	5060
35	2790	4960
36	2851	4854
37	2916	4759
38	2983	4666
39	3048	4572
40	3112	4479
41	3179	4390
42	3247	4304
43	3311	4215
44	3379	4130
45	3444	4044
46	3511	3960
47	3575	3873
48	3640	3789
49	3673	3673
50	3739	3592
51	3803	3510
52	3866	3428
53	3928	3346
54	3994	3268
55	4060	3190
56	4126	3112
57	4189	3033
58	4256	2957
59	4323	2882
60	4393	2808
61	4460	2733
62	4527	2658
63	4594	2584
64	4661	2509
65	4727	2435
66	4794	2361
67	4861	2287
68	4929	2214
69	4994	2140
70	5105	2085
71	5210	2026
72	5305	1962
73	5359	1882
74	5444	1814
75	5529	1746
76	5612	1676
77	5695	1606
78	5776	1535
79	5856	1464
80	5922	1389
81	5987	1314
82	6053	1239
83	6119	1165
84	6186	1091
85	6267	1020
86	6350	948
87	6421	875
88	6486	801
89	6549	727
90	6625	655
91	6707	583
92	6797	511
93	6885	439
94	6979	367
95	7057	294
96	7136	220
97	7216	147
98	7283	73
99	7361	0
